participant_id,video_no,conflict,action,scale_score,item5_score
1,1,葛藤あり,行動あり,4.5,5
2,1,葛藤あり,行動あり,4.5,5
3,1,葛藤あり,行動あり,5.0,6
4,1,葛藤あり,行動あり,5.0,7
5,1,葛藤あり,行動あり,4.25,6
6,1,葛藤あり,行動あり,5.5,5
7,1,葛藤あり,行動あり,6.0,6
8,1,葛藤あり,行動あり,6.5,7
9,1,葛藤あり,行動あり,4.75,5
10,1,葛藤あり,行動あり,5.0,4
11,1,葛藤あり,行動あり,6.75,7
12,1,葛藤あり,行動あり,2.0,2
13,1,葛藤あり,行動あり,6.75,7
14,1,葛藤あり,行動あり,6.25,7
15,1,葛藤あり,行動あり,2.25,2
16,1,葛藤あり,行動あり,6.0,7
17,1,葛藤あり,行動あり,5.0,5
18,1,葛藤あり,行動あり,3.75,3
19,1,葛藤あり,行動あり,5.0,6
20,1,葛藤あり,行動あり,6.75,7
21,1,葛藤あり,行動あり,3.25,5
22,1,葛藤あり,行動あり,6.5,6
23,1,葛藤あり,行動あり,5.5,7
24,1,葛藤あり,行動あり,2.25,3
25,1,葛藤あり,行動あり,7.0,7
26,1,葛藤あり,行動あり,3.0,4
27,1,葛藤あり,行動あり,4.75,6
28,1,葛藤あり,行動あり,6.5,7
29,1,葛藤あり,行動あり,4.5,5
30,1,葛藤あり,行動あり,6.0,6
31,1,葛藤あり,行動あり,2.5,4
32,1,葛藤あり,行動あり,6.25,7
33,1,葛藤あり,行動あり,6.75,7
34,1,葛藤あり,行動あり,6.5,7
35,1,葛藤あり,行動あり,6.75,7
36,1,葛藤あり,行動あり,4.0,6
37,1,葛藤あり,行動あり,6.5,6
38,1,葛藤あり,行動あり,5.75,6
39,1,葛藤あり,行動あり,3.75,3
40,1,葛藤あり,行動あり,6.0,6
41,1,葛藤あり,行動あり,6.0,6
42,1,葛藤あり,行動あり,5.25,7
43,1,葛藤あり,行動あり,5.0,5
44,1,葛藤あり,行動あり,5.0,5
45,1,葛藤あり,行動あり,4.0,2
46,1,葛藤あり,行動あり,3.5,5
47,1,葛藤あり,行動あり,2.0,6
48,1,葛藤あり,行動あり,4.0,6
49,1,葛藤あり,行動あり,3.0,2
50,1,葛藤あり,行動あり,5.0,6
51,1,葛藤あり,行動あり,5.75,5
52,1,葛藤あり,行動あり,5.75,5
53,1,葛藤あり,行動あり,4.0,4
54,1,葛藤あり,行動あり,4.75,5
55,1,葛藤あり,行動あり,6.0,7
56,1,葛藤あり,行動あり,5.0,6
57,1,葛藤あり,行動あり,5.0,5
58,1,葛藤あり,行動あり,6.5,6
59,1,葛藤あり,行動あり,6.0,6
60,1,葛藤あり,行動あり,6.0,6
61,1,葛藤あり,行動あり,5.0,5
62,1,葛藤あり,行動あり,4.75,5
63,1,葛藤あり,行動あり,6.0,7
64,1,葛藤あり,行動あり,6.0,7
65,1,葛藤あり,行動あり,2.75,2
66,1,葛藤あり,行動あり,4.25,6
67,1,葛藤あり,行動あり,5.5,6
68,1,葛藤あり,行動あり,5.5,5
69,1,葛藤あり,行動あり,6.5,7
70,1,葛藤あり,行動あり,5.0,5
71,1,葛藤あり,行動あり,4.25,6
72,1,葛藤あり,行動あり,5.0,5
73,1,葛藤あり,行動あり,3.25,3
74,1,葛藤あり,行動あり,4.75,4
75,1,葛藤あり,行動あり,4.5,4
76,1,葛藤あり,行動あり,5.0,5
77,1,葛藤あり,行動あり,6.75,7
78,1,葛藤あり,行動あり,5.25,6
79,1,葛藤あり,行動あり,5.75,7
80,1,葛藤あり,行動あり,6.0,6
81,1,葛藤あり,行動あり,5.0,7
82,1,葛藤あり,行動あり,5.0,5
83,1,葛藤あり,行動あり,5.75,6
84,1,葛藤あり,行動あり,3.5,5
85,1,葛藤あり,行動あり,6.25,7
86,1,葛藤あり,行動あり,4.0,4
87,1,葛藤あり,行動あり,3.0,3
