participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
1,1,葛藤あり,行動あり,3.1666666666666665,post,scale,勇気尺度,,
2,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
3,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
4,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
5,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
6,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
7,1,葛藤あり,行動あり,4.166666666666667,post,scale,勇気尺度,,
8,1,葛藤あり,行動あり,1.5,post,scale,勇気尺度,,
9,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
10,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
11,1,葛藤あり,行動あり,5.5,post,scale,勇気尺度,,
14,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
15,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
16,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
17,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
18,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
19,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
20,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
22,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
23,1,葛藤あり,行動あり,6.0,post,scale,勇気尺度,,
24,1,葛藤あり,行動あり,2.3333333333333335,post,scale,勇気尺度,,
25,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
28,1,葛藤あり,行動あり,6.0,post,scale,勇気尺度,,
29,1,葛藤あり,行動あり,6.666666666666667,post,scale,勇気尺度,,
30,1,葛藤あり,行動あり,2.6666666666666665,post,scale,勇気尺度,,
32,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
33,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
34,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
35,1,葛藤あり,行動あり,5.166666666666667,post,scale,勇気尺度,,
36,1,葛藤あり,行動あり,2.5,post,scale,勇気尺度,,
37,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
41,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
42,1,葛藤あり,行動あり,3.1666666666666665,post,scale,勇気尺度,,
43,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
44,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
45,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
46,1,葛藤あり,行動あり,2.8333333333333335,post,scale,勇気尺度,,
47,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
48,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
51,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
52,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
53,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
55,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
56,1,葛藤あり,行動あり,2.8333333333333335,post,scale,勇気尺度,,
57,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
58,1,葛藤あり,行動あり,1.8333333333333333,post,scale,勇気尺度,,
59,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
60,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
61,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
