participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
2,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
3,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
6,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
7,1,葛藤あり,行動あり,4.166666666666667,post,scale,勇気尺度,,
11,1,葛藤あり,行動あり,5.5,post,scale,勇気尺度,,
14,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
16,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
17,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
20,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
22,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
23,1,葛藤あり,行動あり,6.0,post,scale,勇気尺度,,
25,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
28,1,葛藤あり,行動あり,6.0,post,scale,勇気尺度,,
29,1,葛藤あり,行動あり,6.666666666666667,post,scale,勇気尺度,,
33,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
34,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
35,1,葛藤あり,行動あり,5.166666666666667,post,scale,勇気尺度,,
47,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
48,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
50,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
52,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
55,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
60,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
61,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
62,1,葛藤あり,行動あり,2.8333333333333335,post,scale,勇気尺度,,
63,1,葛藤あり,行動あり,4.666666666666667,post,scale,勇気尺度,,
64,1,葛藤あり,行動あり,5.666666666666667,post,scale,勇気尺度,,
66,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
68,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
69,1,葛藤あり,行動あり,5.833333333333333,post,scale,勇気尺度,,
71,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
73,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
74,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
76,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
78,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
79,1,葛藤あり,行動あり,5.333333333333333,post,scale,勇気尺度,,
80,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
81,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
89,1,葛藤あり,行動あり,7.0,post,scale,勇気尺度,,
90,1,葛藤あり,行動あり,5.666666666666667,post,scale,勇気尺度,,
91,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
92,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
96,1,葛藤あり,行動あり,4.833333333333333,post,scale,勇気尺度,,
102,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
105,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
106,1,葛藤あり,行動あり,4.5,post,scale,勇気尺度,,
110,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
113,1,葛藤あり,行動あり,5.166666666666667,post,scale,勇気尺度,,
120,1,葛藤あり,行動あり,4.166666666666667,post,scale,勇気尺度,,
121,1,葛藤あり,行動あり,6.833333333333333,post,scale,勇気尺度,,
125,1,葛藤あり,行動あり,4.666666666666667,post,scale,勇気尺度,,
2,1,葛藤あり,行動あり,-0.3333333333333339,diff,scale,勇気尺度,,
3,1,葛藤あり,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
6,1,葛藤あり,行動あり,0.6666666666666661,diff,scale,勇気尺度,,
7,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
11,1,葛藤あり,行動あり,-0.833333333333333,diff,scale,勇気尺度,,
14,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
16,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
17,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
20,1,葛藤あり,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
22,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
23,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
25,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
28,1,葛藤あり,行動あり,0.666666666666667,diff,scale,勇気尺度,,
29,1,葛藤あり,行動あり,0.666666666666667,diff,scale,勇気尺度,,
33,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
34,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
35,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
47,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
48,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
50,1,葛藤あり,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
52,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
55,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
60,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
61,1,葛藤あり,行動あり,-0.666666666666667,diff,scale,勇気尺度,,
62,1,葛藤あり,行動あり,-1.4999999999999996,diff,scale,勇気尺度,,
63,1,葛藤あり,行動あり,0.3333333333333339,diff,scale,勇気尺度,,
64,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
66,1,葛藤あり,行動あり,-1.1666666666666665,diff,scale,勇気尺度,,
68,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
69,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
71,1,葛藤あり,行動あり,-0.8333333333333335,diff,scale,勇気尺度,,
73,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
74,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
76,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
78,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
79,1,葛藤あり,行動あり,0.833333333333333,diff,scale,勇気尺度,,
80,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
81,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
89,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
90,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
91,1,葛藤あり,行動あり,-0.33333333333333304,diff,scale,勇気尺度,,
